ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
Dell Inspiron 6880,48.44721179631905,73.77026019488126,59.971364206379825,14.807142598251147,15.502707730201115,3507,Disk Failure
Dell ZenBook 2266,54.7252408610731,25.221819373786836,39.16510642915111,15.727813850054693,4.421021901421618,1037,No Problem
Dell Galaxy 5903,26.693318743825646,49.90062814822962,93.052670321852,17.43733753411538,25.18006411708794,3244,Disk Failure
Dell ZenBook 8084,65.59165156044314,29.603866419087044,92.58018939878046,10.645216180023503,57.713538436352195,3731,No Problem
Dell Inspiron 8884,24.395215644333934,25.792754305136235,76.17598812626453,15.325680645202162,83.78816936735792,2830,Disk Failure
Dell MacBook 5946,22.774118542829058,90.24861509168309,94.71186155315297,12.996790596972168,92.69973300200259,3011,No Problem
Dell Satellite 9260,93.61384084515458,13.505777345555225,45.5752807625288,14.631243500928731,47.98445813227327,2570,Memory Leak
Dell Galaxy 6222,83.36036059131183,9.684933904551174,89.52887836928633,13.720040487858686,21.87166084754757,2058,Memory Leak
Dell Inspiron 2777,18.526863761875212,38.23216639914132,64.91662031180486,17.722542536112755,60.52906200574905,4829,No Problem
Dell Pavilion 4343,26.07198113440292,36.36695645388613,93.43925572186672,12.326874888103376,78.85424387322053,3841,Memory Leak
Dell Galaxy 8125,91.39794247491001,96.10189109907938,51.71013822840567,17.80134993754893,48.543938521629556,3437,Memory Leak
Dell Inspiron 1863,62.25808450375814,96.67592661230172,49.95784923336063,18.563840790726786,19.677178685772546,1843,Overheating
Dell Surface 9875,99.22025174964561,90.29474355361519,24.17571959511151,19.105312477005917,49.24555084652595,4456,Disk Failure
Dell Surface 7776,9.836829117085621,34.02727776220976,36.005091776203116,10.238803811165141,90.3809958951857,4147,Memory Leak
Dell ZenBook 6847,45.84489668192675,60.510207165979125,28.273363693372808,19.555434550428963,21.30517951889077,2249,Disk Failure
Dell MacBook 1949,78.61828985400416,24.25869144515087,33.88123359198345,11.696530220568713,88.65386007012074,4891,Memory Leak
Dell Surface 1061,86.85975268523086,22.725623310182808,69.83975087321973,13.984686082265767,33.234307212320125,1458,No Problem
Dell Surface 4786,71.67629832913887,49.67215649293101,75.85522274949071,11.459217832317496,34.75080994071338,1055,No Problem
Dell Galaxy 9759,36.14429313660078,80.33668809382046,61.48918023441694,19.298097331716455,61.03928106580847,3252,No Problem
Dell Pavilion 8249,74.78493934472743,16.885766670235057,73.47123642725813,19.671729210833952,5.8905304348470855,4715,Memory Leak
Dell Inspiron 4252,81.0829144859995,76.52388487856621,96.95511045284393,19.658862783143576,24.53392087596361,4103,Disk Failure
Dell Satellite 2191,37.613173264084885,32.736669526647525,90.53310651129947,16.665876896812,44.86598579917727,1327,Overheating
Dell Satellite 8793,24.311602652981513,43.88798689161341,95.64760500264919,12.320478105134477,17.012514255606526,2898,Memory Leak
Dell Vaio 3643,84.1076828087828,80.00573310961816,58.231704870471084,10.64264114923953,62.41233756768826,3253,Disk Failure
Dell Aspire 7783,30.04703412378813,30.203086877366303,26.992055613161394,17.36123187729533,61.774484643646865,4114,Disk Failure
Dell MacBook 5537,30.46775388769015,8.67057563257757,23.13851038876677,17.343361657107813,66.17307213240923,1208,No Problem
Dell Inspiron 5663,87.14238087738066,7.157049523448277,49.41510342949244,17.653392141167117,95.41776850275187,2078,Memory Leak
Dell Aspire 6142,35.198108953421404,59.718117165402695,88.69605913279219,11.02735119561357,49.52938535201851,1911,Memory Leak
Dell ZenBook 6588,63.102157373664184,71.74718496800246,35.43690984551552,14.816968599783191,27.093642575961297,1766,No Problem
